Total claims: 294

specimen | speaker | type | claimText (first 150 chars)
shopify | Tobi Lutke | employee-deal | Learning to use AI well is genuinely fun. I believe mastering the skill of applying AI to your work is now the most impactful one can develop.
accenture-openai | Julie Sweet | employee-deal | We are exiting on a compressed timeline people where reskilling, based on our experience, is not a viable path for the skills we need.
accenture-openai | Julie Sweet | direction-under-uncertainty | value realization has been underwhelming for many
accenture-openai | Julie Sweet | transformation-framing | This change is so big, this is reversing five decades of how we're working.
accenture-openai | Julie Sweet | identity | CEOs have identified that AI is simple to try and hard to scale, and that's why they come to Accenture.
accenture-openai | Julie Sweet | identity | Excellence, confidence, and humility. That is my North Star, because the moment I lose sight of that, I may not be challenging myself and our company 
accenture-openai | Julie Sweet | employee-deal | Every leader needs to think of themselves as a reinventor.
accenture-openai | Julie Sweet | direction-under-uncertainty | Most CEOs I talk to feel like their organizations have over-tilted toward productivity... and they're missing the growth opportunities from AI.
accenture-openai | Julie Sweet | sacrifice-justification | For our people and our clients, it was hard... How do you have the courage to do that? That's where you have the humility, but also this idea of embra
salesforce | Marc Benioff | identity | No business is better positioned than Salesforce to guide customers through the digital labour revolution.
salesforce | Marc Benioff | transformation-framing | the quarter of Agentforce
salesforce | Marc Benioff | utopian | Digital labor is a new horizon for business... How we architect our businesses and run our businesses and staff our businesses and think about our bus
salesforce | Marc Benioff | utopian | We are the last generation of CEOs to manage only humans. I believe that every CEO in the future will manage both humans and agents together.
salesforce | Marc Benioff | employee-deal | I've reduced it from 9,000 heads to about 5,000, because I need less heads.
salesforce | Marc Benioff | employee-deal | We're not adding any more software engineers next year because we have increased the productivity this year with Agentforce — and with other AI techno
salesforce | Marc Benioff | direction-under-uncertainty | I think AI augments people, but I don't know if it necessarily replaces them.
salesforce | Marc Benioff | identity | Agentforce 2.0 cements our position as the leader in digital labor solutions, allowing any company to build a limitless workforce that can truly trans
salesforce | Marc Benioff | sacrifice-justification | I don't think it's dystopian at all. This is reality, at least for me.
salesforce | Marc Benioff | direction-under-uncertainty | You need the human in the loop. The humans are not going away. We're being augmented by these technologies. We're getting more productivity.
klarna | Sebastian Siemiatkowski | sacrifice-justification | As cost unfortunately seems to have been a too predominant evaluation factor when organizing this, what you end up having is lower quality.
klarna | Sebastian Siemiatkowski | direction-under-uncertainty | Really investing in the quality of human support is the way of the future for us.
klarna | Sebastian Siemiatkowski | employee-deal | From a brand perspective, a company perspective, I just think it's so critical that you are clear to your customer that there will always be a human i
klarna | Sebastian Siemiatkowski | direction-under-uncertainty | I feel a lot of my tech bros are being slightly not to the point on this topic. I think there is a massive shift coming to knowledge work. And it's no
klarna | Sebastian Siemiatkowski | sacrifice-justification | Society will have to figure out what are we going to do because yes, new jobs will be created, but in the shorter term, that doesn't help the Brussels
klarna | Klarna (corporate press release) | transformation-framing | doing the equivalent work of 700 full-time agents
klarna | Sebastian Siemiatkowski | transformation-framing | Uber type of setup
sk-telecom | SK Telecom | identity | the main driver of SK's AI business and, furthermore, the core that leads the AI business for the entire SK Group
sk-telecom | Ryu Young-sang | transformation-framing | We will leap into SKT's version of a distinguished AI company that combines AI with connective technologies based on our main business of telecommunic
sk-telecom | Ryu Young-sang | utopian | golden era of AI
sk-telecom | Ryu Young-sang | identity | customer trust has been and will be our most valuable asset
sk-telecom | Jung Jai-hun | direction-under-uncertainty | We cannot create real change by simply working harder while relying on old ways of thinking.
google-deepmind | Demis Hassabis | teleological | I think that's within reach. Maybe within the next decade or so, I don't see why not.
google-deepmind | Demis Hassabis | teleological | revolutionize human health, and I think one day maybe we can cure all disease with the help of AI
google-deepmind | Demis Hassabis | identity | build what I think is the ultimate tool for advancing human knowledge, which is-- which is AI
google-deepmind | Demis Hassabis | utopian | radical abundance
google-deepmind | Demis Hassabis | identity | I want us to move away, as a field, from a sort of 'move fast and break things attitude'...we want to be bold with the positive things that it can do 
google-deepmind | Demis Hassabis | direction-under-uncertainty | It's going to be one of the most important technologies humanity will ever invent. So we've got to put all our efforts into getting this right.
google-deepmind | Demis Hassabis | identity | Our kind of mantra is to try and be bold and responsible with these systems.
google-deepmind | Demis Hassabis | identity | this is my whole reason why I worked on AI and AGI my whole life, because I think it can be the ultimate tool to help us as scientists answer these ki
google-deepmind | Demis Hassabis | identity | I pride ourselves on having the broadest and deepest research bench
google-deepmind | Demis Hassabis | direction-under-uncertainty | when the terrain gets harder, right? Because then it veers more from just engineering to true research, and research plus engineering, and that's our 
ssi | SSI | teleological | Building safe superintelligence (SSI) is the most important technical problem of our time.
ssi | Ilya Sutskever | identity | We are squarely an 'age of research' company.
ssi | SSI | identity | SSI is our mission, our name, and our entire product roadmap, because it is our sole focus.
ssi | SSI | identity | We have started the world's first straight-shot SSI lab, with one goal and one product: a safe superintelligence.
ssi | Ilya Sutskever | teleological | I maintain that there is something that's better to build, and I think that everyone will want that. It's the AI that's robustly aligned to care about
ssi | Ilya Sutskever | direction-under-uncertainty | The way I would describe it is that there are some ideas that I think are promising and I want to investigate them and see if they are indeed promisin
ssi | SSI | identity | We are assembling a lean, cracked team of the world's best engineers and researchers dedicated to focusing on SSI and nothing else.
ssi | SSI | direction-under-uncertainty | Our singular focus means no distraction by management overhead or product cycles, and our business model means safety, security, and progress are all 
sierra-ai | Bret Taylor | utopian | This was an inflection point in society and technology...as significant as the advent of the internet.
sierra-ai | Bret Taylor | identity | I didn't know what I was going to do, but now I know I'm going to work on this.
sierra-ai | Clay Bavor | teleological | We think in the future, your AI agent will be more important than your website and more important than your app.
sierra-ai | Bret Taylor | identity | The word agent will stick...A little bit like app, the word app will become just a noun that describes a packaging.
sierra-ai | Clay Bavor | identity | We only charge our customers when their agent successfully completes the task that it's set out to do.
sierra-ai | Bret Taylor | direction-under-uncertainty | We're taking on the risk, but I also think as a consequence we're making something more valuable.
pfizer | Albert Bourla | transformation-framing | The winners in that field will be separated from the losers, not by their ability to select the right technology or the right vendor, but their abilit
pfizer | Albert Bourla | utopian | I truly believe that we are about to enter a scientific renaissance in life sciences, because of this coexistence of advancements in technology and bi
pfizer | Albert Bourla | direction-under-uncertainty | Four years to four months, that's dramatic, and that has translated to hundreds of thousands of lives.
pfizer | Albert Bourla | transformation-framing | The main lever was the successful deployment of AI.
pfizer | Albert Bourla | teleological | We saved the world from COVID, now we'll save the world from cancer.
pfizer | Albert Bourla | teleological | I think we should be able to cure [some cancers]. The remaining ones that are not cured will become chronic diseases: You can live with your cancer li
pfizer | Berta Rodriguez-Hervas | identity | I am incredibly inspired by the shared vision I have with Lidia Fonseca regarding the future of AI at Pfizer, and the immense impact we will bring to 
pfizer | Lidia Fonseca | transformation-framing | I am confident that Berta's leadership and fresh perspective will continue to take our enterprise AI strategies and capabilities to the next level to 
pfizer | Albert Bourla | transformation-framing | We touched the lives of hundreds of millions of patients and strengthened Pfizer in a year of execution and transformation.
pfizer | Albert Bourla | utopian | We are experiencing a scientific renaissance, with previously unimaginable technology and advances in science.
novo-nordisk | Anja Leth Zimmer | teleological | Ultimately, it's about using data and AI to drive real change and improve the lives of patients around the world.
novo-nordisk | Anja Leth Zimmer | identity | I take on this role with humility – and with strong confidence that our company, built on more than a century of science and data‑driven innovation, w
novo-nordisk | Anders Romare | transformation-framing | AI and machine learning have been integral to our industry for years. However, Generative AI represents a significant leap forward, enabling us to acc
novo-nordisk | Anders Romare | direction-under-uncertainty | Potentially, we can go from five years of drug discovery to maybe three years.
novo-nordisk | Anders Romare | sacrifice-justification | It's natural to worry about job displacement, but history shows that technology shifts lead to new opportunities. Generative AI will certainly lead to
novo-nordisk | Anders Romare | transformation-framing | Traditionally, software played a supporting role, but with the advent of Generative AI, it's becoming central to how we develop and deliver drugs.
novo-nordisk | Karin Conde-Knape | teleological | Using data with AI to define patients' risk of developing diseases will help us provide better treatments. This is precision medicine, and it's going 
novo-nordisk | Lars Fogh Iversen | direction-under-uncertainty | Together, we are on a path to enable faster and scaled use of AI in drug discovery, ultimately leading to more breakthrough innovations and efficiency
novo-nordisk | Lars Fogh Iversen | direction-under-uncertainty | Gefion will allow us to tackle compute-heavy challenges, like AI-based protein engineering and biological models. AI models can now be created and use
novo-nordisk | Louise Lind Skov | transformation-framing | We've consistently been one of the first movers when it comes to document and content automation in pharma development. Our work with Anthropic and Cl
novo-nordisk | Seth Freund | direction-under-uncertainty | If it was just about taking a process today and making it a little more efficient, that's probably not a super compelling reason to invest in making a
roche-genentech | Aviv Regev | transformation-framing | If we proceed with everything in this stepwise, bespoke, almost handcrafted way as we have, we won't move fast enough and address enough problems.
roche-genentech | Aviv Regev | transformation-framing | We have to find ways to work at a different scale and AI is helping us do this.
roche-genentech | Aviv Regev | sacrifice-justification | This is a long game and it's a deep investment. Decorating what you currently do with some additions is not going to be enough. This lab in the loop r
roche-genentech | Aviv Regev | utopian | For the very first time in our history, in human history, biology has the opportunity to be engineering, not science.
roche-genentech | Aviv Regev | employee-deal | Making sure they feel they are on an equal footing is essential and extremely important.
roche-genentech | Aviv Regev | employee-deal | Everyone should feel very comfortable talking with an accent. We don't expect our computational scientists to start behaving like they were actually b
roche-genentech | Aviv Regev | teleological | If we just do twofold better, that is a dramatic, radical shift for the betterment of human lives.
roche-genentech | Aviv Regev | teleological | We owe it to each and every one of our patients to be the absolute best.
roche-genentech | Aviv Regev | direction-under-uncertainty | I plan to be here for the very long term. There is no Plan B.
roche-genentech | Aviv Regev | sacrifice-justification | Those might not look great for our molecule team. They're like, 'This is never going to be a drug.' Maybe it won't. But it will make an algorithm that
roche-genentech | Aviv Regev | direction-under-uncertainty | People think it will work immediately. No, no, no. It's a set of multiple difficult problems, and you have to tackle all of them, and you're only as g
roche-genentech | Aviv Regev | direction-under-uncertainty | You cannot judge success three years in, in this particular field. Unfortunately, still, it's too slow.
roche-genentech | Aviv Regev | employee-deal | Agents can't replace our scientists, but they actually boost our scientists.
roche-genentech | Aviv Regev | employee-deal | The really cool part happens when you let the agent and our top performing scientists work together. They then perform together far better than our be
roche-genentech | Aviv Regev | identity | We're testing AI on the real thing — patients. It's not just a paper or fun science.
roche-genentech | Aviv Regev | identity | By harnessing the power of AI models and algorithms, with our unique data and experiments, we're unlocking scientific discoveries with incredible spee
roche-genentech | Thomas Schinecker | transformation-framing | With the speed of technology and its strategic importance to our business now and for the future, I am thrilled to have Wafaa Mamilli joining us. She 
roche-genentech | Thomas Schinecker | teleological | Our investments of USD 50 billion over the next five years will lay the foundation for our next era of innovation and growth, benefiting patients in t
sanofi | Paul Hudson | utopian | Our ambition is to become the first pharma company powered by artificial intelligence at scale, giving our people tools and technologies that focus on
sanofi | Paul Hudson | utopian | We have just scratched the surface as to how we embrace these disruptive technologies to achieve our ambition of transforming the practice of medicine
sanofi | Paul Hudson | direction-under-uncertainty | You don't delegate the revolution.
sanofi | Paul Hudson | transformation-framing | We don't have a choice. It's the fourth industrial revolution.
sanofi | Paul Hudson | employee-deal | The adoption of AI in particular is not about jobs...more meaningful work is created.
sanofi | Paul Hudson | transformation-framing | We just picked one person who didn't know anything about AI from each major function and put them in a room together and said, 'OK, disrupt yourselves
sanofi | Paul Hudson | sacrifice-justification | People are often shocked that you may get the insight at the same time as somebody lower down the organization.
sanofi | Paul Hudson | direction-under-uncertainty | The younger talent...are saying, 'You didn't see AI, old man...I have a better insight than you do.'
sanofi | Paul Hudson | transformation-framing | I have a chance to disrupt structural biology...invent medicines and druggable targets that were never touched before.
sanofi | Paul Hudson | identity | We aim to be the world's leading pharmaceutical company using AI at scale.
sanofi | Paul Hudson | sacrifice-justification | The jobs that go are the people that refuse to use AI.
sanofi | Paul Hudson | direction-under-uncertainty | The agent doesn't have a career at stake.
sanofi | Paul Hudson | transformation-framing | We made significant progress in 2024 toward becoming a focused science-driven biopharma company.
sanofi | Houman Ashrafian | utopian | I'm optimistic that the impact of talented science-focused teams, coupled with our increasing exposure to breathtaking digital technologies, will driv
google-x | Astro Teller | teleological | We use the word moonshots to remind us to keep our visions big, to keep dreaming.
google-x | Astro Teller | identity | We spend most of our time breaking things and trying to prove that we're wrong.
google-x | Astro Teller | sacrifice-justification | Run at all the hardest parts of the problem first. Get excited and cheer, 'Hey! How are we going to kill our project today?'
google-x | Astro Teller | employee-deal | We have bonused every single person on teams that ended their projects.
google-x | Astro Teller | sacrifice-justification | This team has done more to further innovation at X by ending their project than any one of you.
google-x | Astro Teller | identity | The only way to get people to work on big, risky things -- audacious ideas -- and have them run at all the hardest parts of the problem first, is if y
google-x | Astro Teller | direction-under-uncertainty | Enthusiastic skepticism is not the enemy of boundless optimism. It's optimism's perfect partner.
google-x | Astro Teller | teleological | to invent and launch 'moonshot' technologies that we hope could someday make the world a radically better place
google-x | Astro Teller | identity | innovation is a delicate thing. You can't over-process it; you have to respect weird creativity and serendipitous discovery
google-x | Astro Teller | transformation-framing | We're trying to create the processes and culture that will help us systematize innovation
google-x | Astro Teller | identity | We embrace failure as a powerful tool for learning and, counter-intuitively, making progress; this is one of our most important values
google-x | Astro Teller | identity | We try to steer X to be 'responsibly irresponsible' as we develop new products
google-x | Astro Teller | direction-under-uncertainty | I'm a firm believer that it's possible to make progress against previously intractable problems by being committed over the long term, and committed t
google-x | Astro Teller | teleological | an X project must solve a problem that affects millions or billions of people; it has to have an audacious, sci-fi sounding technology; and there has 
ubs | Sergio Ermotti | teleological | We are also preparing for the future by continuing to invest in our people, products and capabilities to strengthen our client offerings and position 
ubs | Sergio Ermotti | identity | We are implementing the largest deployment of Copilot within the global financial services industry to date.
ubs | Sergio Ermotti | direction-under-uncertainty | We are focused on responsible AI as we provide our people with tools that will help them better manage their businesses.
ubs | Sergio Ermotti | employee-deal | Even as new technology is changing the way we work, our people will remain the most important driver of our success.
ubs | Sergio Ermotti | transformation-framing | We now have 340 live AI use cases across the bank, increasing resilience and building the foundation to enhance the client experience and deliver mean
ubs | Sergio Ermotti | identity | UBS has long been a pioneer in adopting new technology, including artificial intelligence, which we've been using for a decade.
ubs | Sergio Ermotti | direction-under-uncertainty | Our focus is on further scaling generative AI throughout the firm.
ubs | Mike Dargan | transformation-framing | Artificial intelligence is a top priority for UBS. I am delighted to welcome Daniele with his experience in embedding AI into business processes, driv
ubs | Sergio Ermotti | teleological | We are positioning for long-term success by further enhancing our global capabilities, investing in our future infrastructure and AI, while actively e
ubs | Sergio Ermotti | transformation-framing | Building on these strong foundations, we are investing in a portfolio of large-scale transformational AI programs designed to increase our operational
ups | Carol Tomé | identity | Moving our world forward by delivering what matters. I love this because it's not just about moving goods; it's about doing good.
ups | Carol Tomé | identity | Technology is just part of who we are.
ups | Carol Tomé | transformation-framing | We're creating what we call 'operator of the future.'
ups | Carol Tomé | sacrifice-justification | Will we have as many people working for us? No. We won't. But if you have a desire, we'll give you that opportunity to learn.
ups | Carol Tomé | transformation-framing | We've got to up our digital fluency game.
ups | Carol Tomé | direction-under-uncertainty | We don't really forecast anymore; we just build scenarios.
ups | Carol Tomé | transformation-framing | Put the technology in. It will get better. And guess what? It's gotten better.
ups | Carol Tomé | identity | We use artificial intelligence and machine learning to power the network.
ups | Carol Tomé | teleological | Customer first, people led, innovation driven.
ups | Carol Tomé | identity | We're not CEOs of companies. We're CEOs of community.
ups | Carol Tomé | transformation-framing | We are proactively taking action to put our company on a much stronger footing.
ups | Carol Tomé | direction-under-uncertainty | Our horizon is as distant as our mind's eye wishes it to be.
ups | Carol Tomé | teleological | Our strategy is not a shrink-the-company strategy, but rather one where we grow in the best parts of the market, including enterprise, SMB, B2B, healt
ups | Carol Tomé | transformation-framing | We're moving from a scanning to a sensing network.
commonwealth-bank | Matt Comyn | utopian | To be globally competitive, Australia must embrace this new era of rapid technological change. Our strategic partnership with OpenAI reflects our comm
commonwealth-bank | Matt Comyn | employee-deal | Equipping our people with the most advanced AI tools and capability is a key objective of this strategic partnership. We will continue to invest in ou
commonwealth-bank | Matt Comyn | transformation-framing | As the rate of global innovation continues to accelerate, we increasingly believe that the bank's technology leadership will continue to provide a str
commonwealth-bank | Matt Comyn | direction-under-uncertainty | I've been an early adopter of OpenAI and ChatGPT. And so I think, frankly, I think that helps. There's definitely an element of role modeling across t
commonwealth-bank | Matt Comyn | teleological | We're really focused on making sure we're delivering a better customer experience across the whole organization.
commonwealth-bank | Matt Comyn | teleological | respond to that customer experience in a way that really wows them
commonwealth-bank | Matt Comyn | direction-under-uncertainty | We see it as being a cornerstone of being able to support a great customer proposition but also position the organisation competitively.
commonwealth-bank | Matt Comyn | transformation-framing | accelerate the modernisation of our technology estate and the use of AI to drive better experiences for customers as well as quality and speed of exec
commonwealth-bank | Matt Comyn | direction-under-uncertainty | speed of execution is going to really matter over the long term.
commonwealth-bank | Matt Comyn | employee-deal | In the near term, just about across all parts of the organisation, we see an opportunity for all of our people to be using AI tools and we'd certainly
commonwealth-bank | Matt Comyn | teleological | We're using AI to increase the speed and quality of code reviews, alert customers to suspicious activity, help process disputed transactions, and crea
commonwealth-bank | Gavin Munroe | transformation-framing | The Seattle Tech Hub is part of our focus on fast-tracking how we're using new technologies like Agentic AI, while creating an environment where techn
commonwealth-bank | CBA Spokesperson | sacrifice-justification | To meet the changing needs of our customers, like many organisations, we review the skills we need and how we're organised to deliver the best custome
wells-fargo | Charlie Scharf | transformation-framing | Generative and agentic AI will reshape competitive dynamics across every industry, and we are embracing these tools as we have embraced robotic proces
wells-fargo | Charlie Scharf | direction-under-uncertainty | Saul will partner with our business leaders to ensure they are leading their own transformation and will be accountable to me for consistent and meani
wells-fargo | Charlie Scharf | utopian | Advances in AI present a unique opportunity to transform operations and enhance outcomes for employees, customers, and communities.
wells-fargo | Saul Van Beurden | identity | I'm excited to lead Artificial Intelligence for Wells Fargo, and partner with Kleber Santos as co-CEOs of Wells Fargo's new Consumer Banking and Lendi
wells-fargo | Charlie Scharf | sacrifice-justification | The opportunities that exist in AI are very significant, and anyone who sits here today and says that they don't think they'll have less head count be
wells-fargo | Charlie Scharf | employee-deal | It's likely we'll have less headcount as we look forward ... we'd like to do much of it through attrition as possible.
wells-fargo | Charlie Scharf | sacrifice-justification | The worst thing you can do is rehire someone and then have to terminate them because you find you can do the job with fewer people.
wells-fargo | Charlie Scharf | transformation-framing | we think we have more tools on a going-forward basis to get more efficient than we've ever had and especially with AI.
bank-of-america | Brian Moynihan | direction-under-uncertainty | We have to debate the future. As we look forward, you take something like Erica - it was developed when none of us knew what a Large Language or Small
bank-of-america | Brian Moynihan | identity | We've got to be careful. It's got to be done right. The decisions we make are meaningful to people's lives.
bank-of-america | Brian Moynihan | employee-deal | We also continue to invest in our teammates and are moving more money into the AI side and Machine Learning side.
bank-of-america | Brian Moynihan | transformation-framing | 15 years ago the company had a headcount of 300,000. Today, we have 212,000. We did that with a relentless application of scalable, secure, resilient 
bank-of-america | Brian Moynihan | identity | You can have great returns for your shareholders and do well for the communities you serve.
bank-of-america | Brian Moynihan | transformation-framing | Take a company that was built on acquisitions and turn it into an organic growth engine, and a customer-focused organic growth engine that produces gr
bank-of-america | Brian Moynihan | identity | We don't need additional regulation about AI. We are liable for that decision whether we made it by literally a person doing it, the current scoring m
bank-of-america | Brian Moynihan | identity | If I turn down your loan, that's a life-changing experience. We have to make sure the decisions, the data was perfect, the interface was good, and the
bank-of-america | Brian Moynihan | utopian | AI gives you a place to go that we've never been able to go before. In other words, they're jobs that take text, think about it, and produce it.
bank-of-america | Brian Moynihan | employee-deal | The AI will be spent — the efficiencies from AI will be spent to keep growing the company, I think.
bank-of-america | Brian Moynihan | sacrifice-justification | We've taken 30% out of the coding part of the stream. That saves us about 2,000 people.
bank-of-america | Brian Moynihan | transformation-framing | We'll be applying more and more of automated intelligence — or augmented intelligence, as we call it, with a person using AI, using that to be more ef
bank-of-america | Brian Moynihan | direction-under-uncertainty | The AI investment's been building during the year and is probably a bigger contributor next year and the years beyond.
bank-of-america | Brian Moynihan | identity | We drive responsible growth. We have a balance in lending. We're not overlent in any one industry.
pg-chatpg | Vittorio Cretella | transformation-framing | As a company, we are focused on becoming an 'AI-first' business.
pg-chatpg | Vittorio Cretella | employee-deal | AI will augment, not replace, employees – providing we are able to combine unique human skills with the strength of machines.
pg-chatpg | Vittorio Cretella | direction-under-uncertainty | The true impact of AI can only be felt when its used pervasively across the entire organization – when we step away from one-off initiatives.
pg-chatpg | Vittorio Cretella | direction-under-uncertainty | Do not digitize for the sake of digitization. Always start with business value first.
pg-chatpg | Vittorio Cretella | utopian | Companies that will realize full value from this opportunity are the ones embracing the game changing abilities of Data and AI at scale.
pg-chatpg | Marc Pritchard | direction-under-uncertainty | Don't talk about the algorithms, don't talk about the technology, don't talk about AI… Talk about the outcome you want.
pg-chatpg | Jeff Goldman | transformation-framing | With AI, the nature of questions we can ask and the depth of answers we can provide have expanded dramatically.
pg-chatpg | Shailesh Jejurikar | transformation-framing | The consumer path to purchase is changing every day, is nonlinear and littered with millions of possible distractions.
pg-chatpg | Vittorio Cretella | employee-deal | we should worry less about how AI will replace us but how we will leverage AI to scale ourselves, our teams, and companies
databricks | Ali Ghodsi | direction-under-uncertainty | Now that we have it, it's kind of like, never meet your heroes. It's just like, okay, that's not that impressive.
databricks | Ali Ghodsi | direction-under-uncertainty | If all AI progress was frozen today, I think we have what we need to proceed with what we are doing. Not trying to build super-God...
